job_id,job_title,company_name,location,city,state,industry,job_position,experience,source
NAK001,Asst. Manager- Civil Maintenance (Retail),DMart,"Mumbai, Jaipur, Bengaluru",,,,,0-5 Yrs,Naukri.com
NAK002,GN - Management Consulting - Life Sciences - Analyst,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,0-1 Yrs,Naukri.com
NAK003,Customer Support Executive- (Fresher & Exp) -Bangalore,2coms,Navi Mumbai,,,,,0-5 Yrs,Naukri.com
NAK004,Associate (Supply / Field Sales) || Stanza Living,Stanza Living,"Pune, Mumbai (All Areas)",,,,,2-7 Yrs,Naukri.com
NAK005,Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,"Mumbai, Hyderabad, Pune, Chennai, Ahmedabad, Bengaluru",,,,,3-8 Yrs,Naukri.com
NAK006,S&C GN CFO&EV -TAX - Consultant,Accenture,"Mumbai, Pune, Gurugram",,,,,2-7 Yrs,Naukri.com
NAK007,AI/ML Development,Infogain,"Hybrid - Noida, Pune, Mumbai (All Areas)",,,,,2-5 Yrs,Naukri.com
NAK008,S&C GN - T&O - Comms Media - Specialist,Accenture,"Mumbai, Pune, Bengaluru",,,,,8-13 Yrs,Naukri.com
NAK009,Automation Test Engineer with Selenium and Java,Capgemini,"Hybrid - Pune, Gurugram, Mumbai (All Areas)",,,,,4-9 Yrs,Naukri.com
NAK010,"Hexaware Hiring For MSBI Full Stack Developer- SSIS,SSAS,SSRS.",Hexaware Technologies,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,,,,4-9 Yrs,Naukri.com
NAK011,Devops Engineer,Infogain,"Hybrid - Noida, Pune, Mumbai (All Areas)",,,,,3-5 Yrs,Naukri.com
NAK012,GN-Comms & Media -Mobile Private Networks Senior Manager,Accenture,"Mumbai, Pune, Gurugram",,,,,8-13 Yrs,Naukri.com
NAK013,Technical Account Manager,Infogain,"Hybrid - Noida, Pune, Mumbai (All Areas)",,,,,11-16 Yrs,Naukri.com
NAK014,Sr Software Engineer - Java,Photon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,10-12 Yrs,Naukri.com
NAK015,Principal Technical Account Representative (TAM) - SAAS,Oracle,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,4-8 Yrs,Naukri.com
NAK016,S&C GN - Strategy - MC - Industry X - Capital Projects - Manager,Accenture,"Mumbai, Pune, Bengaluru",,,,,10-16 Yrs,Naukri.com
NAK017,S&CGN - Tech Strategy & Advisory - Data on Cloud - Manager,Accenture,"Mumbai, Pune, Bengaluru",,,,,10-15 Yrs,Naukri.com
NAK018,S&C Global Network- Strategy- Production & Operations Consultant,Accenture,"Mumbai, New Delhi, Pune",,,,,5-10 Yrs,Naukri.com
NAK019,SS&C Global Network - Strategy - MC - Industry X Smart Connected,Accenture,"Mumbai, Pune, Bengaluru",,,,,12-16 Yrs,Naukri.com
NAK020,GN - Industry Utilities- Water Solution Architect,Accenture,"Mumbai, Pune, Gurugram",,,,,10-16 Yrs,Naukri.com
NAK021,Asst. Manager- Civil Maintenance (Retail),DMart,"Mumbai, Jaipur, Bengaluru",,,,,0-5 Yrs,Naukri.com
