Job Title,Company Name,Experience (In Years),Experience Category,Industry,City,State,Country,Source
Asst. Manager- Civil Maintenance (Retail),DMart,2.5,Junior,Finance,Mumbai,Maharashtra,India,Naukri
Asst. Manager- Civil Maintenance (Retail),DMart,2.5,Junior,Finance,Jaipur,Rajasthan,India,Naukri
Asst. Manager- Civil Maintenance (Retail),DMart,2.5,Junior,Finance,Bengaluru,Karnataka,India,Naukri
GN - Management Consulting - Life Sciences - Analyst,Accenture,0.5,Entry,Consulting,Mumbai,Maharashtra,India,Naukri
GN - Management Consulting - Life Sciences - Analyst,Accenture,0.5,Entry,Consulting,Gurgaon,Haryana,India,Naukri
GN - Management Consulting - Life Sciences - Analyst,Accenture,0.5,Entry,Consulting,Bengaluru,Karnataka,India,Naukri
Customer Support Executive- (Fresher & Exp) -Bangalore,2coms,2.5,Junior,Other,Navi Mumbai,Maharashtra,India,Naukri
Associate (Supply / Field Sales) || Stanza Living,Stanza Living,4.5,Mid-Level,Buisness Analytics,Pune,Maharashtra,India,Naukri
Associate (Supply / Field Sales) || Stanza Living,Stanza Living,4.5,Mid-Level,Buisness Analytics,Mumbai,Maharashtra,India,Naukri
Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,5.5,Mid-Level,Other,Mumbai,Maharashtra,India,Naukri
Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,5.5,Mid-Level,Other,Hyderabad,Telangana,India,Naukri
Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,5.5,Mid-Level,Other,Pune,Maharashtra,India,Naukri
Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,5.5,Mid-Level,Other,Chennai,Tamil Nadu,India,Naukri
Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,5.5,Mid-Level,Other,Ahmedabad,Gujarat,India,Naukri
Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,5.5,Mid-Level,Other,Bengaluru,Karnataka,India,Naukri
S&C GN CFO&EV -TAX - Consultant,Accenture,4.5,Mid-Level,Consulting,Mumbai,Maharashtra,India,Naukri
S&C GN CFO&EV -TAX - Consultant,Accenture,4.5,Mid-Level,Consulting,Pune,Maharashtra,India,Naukri
S&C GN CFO&EV -TAX - Consultant,Accenture,4.5,Mid-Level,Consulting,Gurgaon,Haryana,India,Naukri
