job_id,job_title,company_name,location,city,state,industry,job_position,experience,source
TAL0001,Big Data Developer,LTIMindtree,"Pune, Maharashtra, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0002,Big Data Engineer,Saaki Argus & Averil Consulting,"Hyderabad, Telangana, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0003,Big Data Developer,Live Connections,"Bengaluru, Karnataka, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0004,Big Data Developer,BDNT Labs Private Limited,"Pune, Maharashtra, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0005,BIg data,Zodiac HR,"Mumbai, Maharashtra, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0006,Big Data Developer,LION & ELEPHANTS,"Kolhapur, IN",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0007,Big Data Consultant,Impetus,"Noida, Uttar Pradesh, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0008,Big Data Developer,HCLTech,India,,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0009,Big Data Developer,Hrizen Techno Services,Chennai,,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0010,Big Data Developer,Agile Technology Solutions - Your Technology Partner,"Pune, Maharashtra, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0011,Big Data Architect,Quick Heal,"Pune, Maharashtra, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0012,Big Data engineer,Tata Consultancy Services,India,,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0013,Big Data Developer,MethodHub,"Hyderabad, Telangana, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0014,Big Data Developer,Risk Resources,Chennai,,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0015,Big Data Specialist,Cybage Software,"Pune, Maharashtra, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0016,Big Data Consultant,Synechron,India,,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0017,Big Data Engineer,Nagarro,"Noida, Uttar Pradesh, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0018,Big Data Developer -,Prakhar Software Solutions Private Limited,Bangalore,,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0019,Big Data Lead,Recro,"Pune, Maharashtra, India",,,Data Science / Analytics,Senior,4-6 Years,Talent
TAL0020,Hadoop Administrator - Cluster Management,TechnoRight,"Delhi, IN",,,Management,Mid,4-6 Years,Talent
TAL0021,Big Data Engineer - Spark / Hadoop,Huntsmen & Barons,Delhi,,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0022,Ab Initio Senior Developer DEL,Exusia,Delhi,,,Software Development,Senior,4-6 Years,Talent
TAL0023,Software Engineer - Java / Spring Developer,Mindfire Solutions,Delhi,,,Software Development,Mid,4-6 Years,Talent
TAL0024,Big Data / Java Developer - Spark / Hadoop,Quesscrop,"Delhi, IN",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0025,GCP Big Data Engineer,LTIMindtree,"New Delhi, Delhi, India",,,Cloud,Mid,4-6 Years,Talent
TAL0026,"Jobs For Database Administrator -Reputed IT Industry -Delhi NCR, India -15 LPA -Preeti",Seven Consultancy,Delhi-NCR-India,,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0027,Data Wrangling,Overture Rede,"Delhi, Delhi, India",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0028,Data Architect - Python / Informatica,Coders Brain Technology Private Limited,"Delhi, IN",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0029,AI Developer,JK Tech World,"New Delhi, Delhi, India",,,Artificial Intelligence / Machine Learning,Mid,4-6 Years,Talent
TAL0030,Data Engineer - R / ETL / Python,Unlock Business Consulting,"Delhi, IN",,,Data Science / Analytics,Mid,4-6 Years,Talent
TAL0031,AI / ML Data Scientist,Peoplelogic Business,"Delhi, NCR",,,Artificial Intelligence / Machine Learning,Mid,4-6 Years,Talent
TAL0032,Presales Solution Architect - Big Data / Cloud,Quadrangle,"Delhi, IN",,,Cloud,Mid,4-6 Years,Talent
TAL0033,Senior PySpark Developer,Victrix Systems & Labs,"Delhi, IN",,,Software Development,Senior,4-6 Years,Talent
TAL0034,Gen AI Architect,IGT Solutions,"Delhi, IN",,,Artificial Intelligence / Machine Learning,Mid,4-6 Years,Talent
TAL0035,Senior BigData Developer_ Remote India,Luxoft,"Delhi, IN",,,Data Science / Analytics,Senior,4-6 Years,Talent
TAL0036,Kloud9 - Senior Data Engineer - Google Cloud Platform,Retail Kloud9 Technologies India Private Limited,"Delhi, IN",,,Cloud,Senior,4-6 Years,Talent
TAL0037,Technical Project Manager,Beroe Inc,"Bengaluru, IN",,,Management,Manager,6-10 Years,Talent
TAL0038,Technical Project Manager,myGwork,"Banglore, Karnatak, India",,,Management,Manager,6-10 Years,Talent
TAL0039,Technical Project Manager,Recro,"Bengaluru, Karnataka, India",,,Management,Manager,6-10 Years,Talent
TAL0040,Technical Project Manager,TTK Services Private Limited,"Bengaluru, Karnataka, India",,,Management,Manager,6-10 Years,Talent
TAL0041,Technical Services Manager,GenScript,"Bangalore, IN",,,Management,Manager,6-10 Years,Talent
TAL0042,Technical support manager,JA Solar,"Bengaluru, IN",,,Management,Manager,6-10 Years,Talent
TAL0043,Technical Project Manager,Ubique Systems,"Bengaluru, Karnataka, India",,,Management,Manager,6-10 Years,Talent
TAL0044,Technical Project Manager,Randstad Enterprise,"Bengaluru, IN",,,Management,Manager,6-10 Years,Talent
TAL0045,Technical Project Manager,ScaleneWorks,"Bengaluru, karnataka, India",,,Management,Manager,6-10 Years,Talent
TAL0046,Technical Program Manager,Anumana,"Bengaluru, Karnataka, India",,,Management,Manager,6-10 Years,Talent
TAL0047,Technical Project Manager,ACL Digital,"Bengaluru, Karnataka, India",,,Management,Manager,6-10 Years,Talent
