Job Title,Company,Rating,Reviews,Experience,Salary,Location,Description,Skills,Posted Date
Asst. Manager- Civil Maintenance (Retail),DMart,3.9,4516,0-5 Yrs,3.5-6.5 Lacs PA,"Mumbai, Jaipur, Bengaluru","Wash rooms, plumbing should be in good condition all the time . Manager- Civil Maintena...",FinishingPlasteringPlasterWaterproofingPaintingCivil MaintenanceManagementAssistance,1 Day Ago
GN - Management Consulting - Life Sciences - Analyst,Accenture,3.8,56065,0-1 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Practice:Across Industry and Functional Groups I Areas of Work:Business Analysis to adv...,pythonpower bisqlrawsmanagement consultingwarranty managementc++,1 Day Ago
Customer Support Executive- (Fresher & Exp) -Bangalore,2coms,3.8,446,0-5 Yrs,Not disclosed,Navi Mumbai,Shift: Day shift NTH: 17k + 5k Variable pay+ . Upto 6k incentives. . Shift- Day shiftEx...,project managementteam managementcustomer relationshipcustomer servicecustomer interactionsalescustomer supportexcel,1 Day Ago
Associate (Supply / Field Sales) || Stanza Living,Stanza Living,3.0,910,2-7 Yrs,8-10 Lacs PA,"Pune, Mumbai (All Areas)","Bachelors degree in Business, Real Estate, Finance, or a related field2+ years of exper...",Property AcquisitionFranchisee DevelopmentLead GenerationSupplyNew Store OpeningField WorkLand AcquisitionSite Acquisition,5 Days Ago
Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,2.7,44,3-8 Yrs,Not disclosed,"Mumbai, Hyderabad, Pune, Chennai, Ahmedabad, Bengaluru","SKILLS REQUIRED . Should possess excellent analytical, drafting skills and have solutio...",Cyber lawContract reviewTime managementAnalyticalLegalROCCosmeticsCompany law,1 Day Ago
S&C GN CFO&EV -TAX - Consultant,Accenture,3.8,56065,2-7 Yrs,Not disclosed,"Mumbai, Pune, Gurugram","7 years of work experience preferably in financial areas order to cash, source to pay, ...",presentation skillsvatpower bigsttaxationtdsproject managementaccounts payable,1 Day Ago
AI/ML Development,Infogain,3.6,1110,2-5 Yrs,Not disclosed,"Hybrid - Noida, Pune, Mumbai (All Areas)",Experience: 2 - 5 Years. Experience in using AI / ML development tools and technologies,PythonGenAINLPAimlNatural language processingArtificial IntelligenceDevelopmentMl,1 Day Ago
S&C GN - T&O - Comms Media - Specialist,Accenture,3.8,56065,8-13 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru","Preferred- Bachelors degree /Masters degree / Diploma in Fine Arts, Multimedia, Animati...",adobe after effectsphotoshopadobe suitegraphic designingillustratorcssdreamweaverux,1 Day Ago
Automation Test Engineer with Selenium and Java,Capgemini,3.7,41482,4-9 Yrs,Not disclosed,"Hybrid - Pune, Gurugram, Mumbai (All Areas)","Should have thorough technical, analytical and operational knowledge within the QA area...",Automation TestingSelenium JavaBdd CucumberSeleniumSoftware testingJavaBddAutomation,1 Day Ago
"Hexaware Hiring For MSBI Full Stack Developer- SSIS,SSAS,SSRS.",Hexaware Technologies,3.6,5861,4-9 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Required Skillset: MSBI-SSIS, SSAS, SSRSRelevant Experience: Minimum 4 years Notice per...",SSASSSRSMSBIMsbi StackSSISSQLHiringSsa,6 Days Ago
Devops Engineer,Infogain,3.6,1110,3-5 Yrs,Not disclosed,"Hybrid - Noida, Pune, Mumbai (All Areas)",Good knowledge of PowerShell to automate tasks and manage infrastructure . Must have: ....,Azure CloudDevopsPowershellMicrosoft AzureCloud,1 Day Ago
GN-Comms & Media -Mobile Private Networks Senior Manager,Accenture,3.8,56065,8-13 Yrs,Not disclosed,"Mumbai, Pune, Gurugram",MBA from Tier 1/2 school and Engineering from Tier 1 school with 7-15 years in telecom ...,Network technologiesdatabase systemNetwork operationsPLCNetwork AnalyticsWireless network technologiesnetwork architectureSCADA,1 Day Ago
Technical Account Manager,Infogain,3.6,1110,11-16 Yrs,Not disclosed,"Hybrid - Noida, Pune, Mumbai (All Areas)",should be comfortable reading logs and source codeExperience: 11 - 16 Years. 6+ years ...,Technical Account ManagerTAMApi IntegrationAccount managementAccountingAPIManagementIntegration,1 Day Ago
Sr Software Engineer - Java,Photon,4.1,1812,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Must have Experience: 10+ Years,web servicesjspjdbchibernatemicroservicesspringjavacore spring,1 Day Ago
Principal Technical Account Representative (TAM) - SAAS,Oracle,3.7,5203,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Work in rotation Shifts . Strong organization skills, detail oriented & communication s...",TAMERPPMPProject managementArtificial IntelligenceIncident managementOracleSCM,6 Days Ago
S&C GN - Strategy - MC - Industry X - Capital Projects - Manager,Accenture,3.8,56065,10-16 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",Experience: 10- 16 years of experience. Educational Qualification: Engineering Degree (...,PrimaveraPERT MasterPMPPower BIEcosysTableauQlikViewPrism,1 Day Ago
S&CGN - Tech Strategy & Advisory - Data on Cloud - Manager,Accenture,3.8,56065,10-15 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",Utilize . strong expertise & certification in any of the AI & Gen AI Cloud platforms - ...,Technology StrategyAzureNLPGenerative AIGen AI strategyTechnology AdvisoryMachine LearningAWS,1 Day Ago
S&C Global Network- Strategy- Production & Operations Consultant,Accenture,3.8,56065,5-10 Yrs,Not disclosed,"Mumbai, New Delhi, Pune",S&C Global Network- Strategy- MC- Industry X- Production & Operations ConsultantRequire...,S4 HANALIMSSAP ECCECCSAP PPSAP BTPSAP DMCSAP Leonardo,1 Day Ago
SS&C Global Network - Strategy - MC - Industry X Smart Connected,Accenture,3.8,56065,12-16 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",B.Tech/BE with 12+ years of experience in SAP MM/MDG/PPM/PS implementation|Oversee SAP ...,SAPproject managementclient deliveryprogram managementbusiness analysisbusiness developmentppmsap presales,6 Days Ago
GN - Industry Utilities- Water Solution Architect,Accenture,3.8,56065,10-16 Yrs,Not disclosed,"Mumbai, Pune, Gurugram",7-10 years of experience in water architecture with expertise in water domains like SCA...,presentation skillsworkforce managementwaternetwork managementstakeholder managementarchitectural designemerging technologiesasset management,1 Day Ago
Asst. Manager- Civil Maintenance (Retail),DMart,3.9,4516,0-5 Yrs,3.5-6.5 Lacs PA,"Mumbai, Jaipur, Bengaluru","Wash rooms, plumbing should be in good condition all the time . Manager- Civil Maintena...",FinishingPlasteringPlasterWaterproofingPaintingCivil MaintenanceManagementAssistance,1 Day Ago
GN - Management Consulting - Life Sciences - Analyst,Accenture,3.8,56065,0-1 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Practice:Across Industry and Functional Groups I Areas of Work:Business Analysis to adv...,pythonpower bisqlrawsmanagement consultingwarranty managementc++,1 Day Ago
Customer Support Executive- (Fresher & Exp) -Bangalore,2coms,3.8,446,0-5 Yrs,Not disclosed,Navi Mumbai,Shift: Day shift NTH: 17k + 5k Variable pay+ . Upto 6k incentives. . Shift- Day shiftEx...,project managementteam managementcustomer relationshipcustomer servicecustomer interactionsalescustomer supportexcel,1 Day Ago
Associate (Supply / Field Sales) || Stanza Living,Stanza Living,3.0,910,2-7 Yrs,8-10 Lacs PA,"Pune, Mumbai (All Areas)","Bachelors degree in Business, Real Estate, Finance, or a related field2+ years of exper...",Property AcquisitionFranchisee DevelopmentLead GenerationSupplyNew Store OpeningField WorkLand AcquisitionSite Acquisition,5 Days Ago
Associate/Senior Associate-IP and Corporate Law,S S Rana & Co,2.7,44,3-8 Yrs,Not disclosed,"Mumbai, Hyderabad, Pune, Chennai, Ahmedabad, Bengaluru","SKILLS REQUIRED . Should possess excellent analytical, drafting skills and have solutio...",Cyber lawContract reviewTime managementAnalyticalLegalROCCosmeticsCompany law,1 Day Ago
S&C GN CFO&EV -TAX - Consultant,Accenture,3.8,56065,2-7 Yrs,Not disclosed,"Mumbai, Pune, Gurugram","7 years of work experience preferably in financial areas order to cash, source to pay, ...",presentation skillsvatpower bigsttaxationtdsproject managementaccounts payable,1 Day Ago
AI/ML Development,Infogain,3.6,1110,2-5 Yrs,Not disclosed,"Hybrid - Noida, Pune, Mumbai (All Areas)",Experience: 2 - 5 Years. Experience in using AI / ML development tools and technologies,PythonGenAINLPAimlNatural language processingArtificial IntelligenceDevelopmentMl,1 Day Ago
S&C GN - T&O - Comms Media - Specialist,Accenture,3.8,56065,8-13 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru","Preferred- Bachelors degree /Masters degree / Diploma in Fine Arts, Multimedia, Animati...",adobe after effectsphotoshopadobe suitegraphic designingillustratorcssdreamweaverux,1 Day Ago
Automation Test Engineer with Selenium and Java,Capgemini,3.7,41482,4-9 Yrs,Not disclosed,"Hybrid - Pune, Gurugram, Mumbai (All Areas)","Should have thorough technical, analytical and operational knowledge within the QA area...",Automation TestingSelenium JavaBdd CucumberSeleniumSoftware testingJavaBddAutomation,1 Day Ago
"Hexaware Hiring For MSBI Full Stack Developer- SSIS,SSAS,SSRS.",Hexaware Technologies,3.6,5861,4-9 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Required Skillset: MSBI-SSIS, SSAS, SSRSRelevant Experience: Minimum 4 years Notice per...",SSASSSRSMSBIMsbi StackSSISSQLHiringSsa,6 Days Ago
Devops Engineer,Infogain,3.6,1110,3-5 Yrs,Not disclosed,"Hybrid - Noida, Pune, Mumbai (All Areas)",Good knowledge of PowerShell to automate tasks and manage infrastructure . Must have: ....,Azure CloudDevopsPowershellMicrosoft AzureCloud,1 Day Ago
GN-Comms & Media -Mobile Private Networks Senior Manager,Accenture,3.8,56065,8-13 Yrs,Not disclosed,"Mumbai, Pune, Gurugram",MBA from Tier 1/2 school and Engineering from Tier 1 school with 7-15 years in telecom ...,Network technologiesdatabase systemNetwork operationsPLCNetwork AnalyticsWireless network technologiesnetwork architectureSCADA,1 Day Ago
Technical Account Manager,Infogain,3.6,1110,11-16 Yrs,Not disclosed,"Hybrid - Noida, Pune, Mumbai (All Areas)",should be comfortable reading logs and source codeExperience: 11 - 16 Years. 6+ years ...,Technical Account ManagerTAMApi IntegrationAccount managementAccountingAPIManagementIntegration,1 Day Ago
Sr Software Engineer - Java,Photon,4.1,1812,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Must have Experience: 10+ Years,web servicesjspjdbchibernatemicroservicesspringjavacore spring,1 Day Ago
