job_id,job_title,company_name,location,source
TAL0001,Big Data Developer,LTIMindtree,"Pune, Maharashtra, India",Talent
TAL0002,Big Data Engineer,Saaki Argus & Averil Consulting,"Hyderabad, Telangana, India",Talent
TAL0003,Big Data Developer,Live Connections,"Bengaluru, Karnataka, India",Talent
TAL0004,Big Data Developer,BDNT Labs Private Limited,"Pune, Maharashtra, India",Talent
TAL0005,BIg data,Zodiac HR,"Mumbai, Maharashtra, India",Talent
TAL0006,Big Data Developer,LION & ELEPHANTS,"Kolhapur, IN",Talent
TAL0007,Big Data Consultant,Impetus,"Noida, Uttar Pradesh, India",Talent
TAL0008,Big Data Developer,HCLTech,India,Talent
TAL0009,Big Data Developer,Hrizen Techno Services,Chennai,Talent
TAL0010,Big Data Developer,Agile Technology Solutions - Your Technology Partner,"Pune, Maharashtra, India",Talent
TAL0011,Big Data Architect,Quick Heal,"Pune, Maharashtra, India",Talent
TAL0012,Big Data engineer,Tata Consultancy Services,India,Talent
TAL0013,Big Data Developer,MethodHub,"Hyderabad, Telangana, India",Talent
TAL0014,Big Data Developer,Risk Resources,Chennai,Talent
TAL0015,Big Data Specialist,Cybage Software,"Pune, Maharashtra, India",Talent
TAL0016,Big Data Consultant,Synechron,India,Talent
TAL0017,Big Data Engineer,Nagarro,"Noida, Uttar Pradesh, India",Talent
TAL0018,Big Data Developer -,Prakhar Software Solutions Private Limited,Bangalore,Talent
TAL0019,Big Data Lead,Recro,"Pune, Maharashtra, India",Talent
TAL0020,Hadoop Administrator - Cluster Management,TechnoRight,"Delhi, IN",Talent
TAL0021,Big Data Engineer - Spark / Hadoop,Huntsmen & Barons,Delhi,Talent
TAL0022,Ab Initio Senior Developer DEL,Exusia,Delhi,Talent
TAL0023,Software Engineer - Java / Spring Developer,Mindfire Solutions,Delhi,Talent
TAL0024,Big Data / Java Developer - Spark / Hadoop,Quesscrop,"Delhi, IN",Talent
TAL0025,GCP Big Data Engineer,LTIMindtree,"New Delhi, Delhi, India",Talent
TAL0026,"Jobs For Database Administrator -Reputed IT Industry -Delhi NCR, India -15 LPA -Preeti",Seven Consultancy,Delhi-NCR-India,Talent
TAL0027,Data Wrangling,Overture Rede,"Delhi, Delhi, India",Talent
TAL0028,Data Architect - Python / Informatica,Coders Brain Technology Private Limited,"Delhi, IN",Talent
TAL0029,AI Developer,JK Tech World,"New Delhi, Delhi, India",Talent
TAL0030,Data Engineer - R / ETL / Python,Unlock Business Consulting,"Delhi, IN",Talent
TAL0031,AI / ML Data Scientist,Peoplelogic Business,"Delhi, NCR",Talent
TAL0032,Presales Solution Architect - Big Data / Cloud,Quadrangle,"Delhi, IN",Talent
TAL0033,Senior PySpark Developer,Victrix Systems & Labs,"Delhi, IN",Talent
TAL0034,Gen AI Architect,IGT Solutions,"Delhi, IN",Talent
TAL0035,Senior BigData Developer_ Remote India,Luxoft,"Delhi, IN",Talent
TAL0036,Kloud9 - Senior Data Engineer - Google Cloud Platform,Retail Kloud9 Technologies India Private Limited,"Delhi, IN",Talent
TAL0037,Technical Project Manager,Beroe Inc,"Bengaluru, IN",Talent
TAL0038,Technical Project Manager,myGwork,"Banglore, Karnatak, India",Talent
TAL0039,Technical Project Manager,Recro,"Bengaluru, Karnataka, India",Talent
TAL0040,Technical Project Manager,TTK Services Private Limited,"Bengaluru, Karnataka, India",Talent
TAL0041,Technical Services Manager,GenScript,"Bangalore, IN",Talent
TAL0042,Technical support manager,JA Solar,"Bengaluru, IN",Talent
TAL0043,Technical Project Manager,Ubique Systems,"Bengaluru, Karnataka, India",Talent
TAL0044,Technical Project Manager,Randstad Enterprise,"Bengaluru, IN",Talent
TAL0045,Technical Project Manager,ScaleneWorks,"Bengaluru, karnataka, India",Talent
TAL0046,Technical Program Manager,Anumana,"Bengaluru, Karnataka, India",Talent
TAL0047,Technical Project Manager,ACL Digital,"Bengaluru, Karnataka, India",Talent
TAL0048,Technical Product Manager,ZeroFox,"Bengaluru, KA, IN",Talent
TAL0049,Technical Project Manager,PhonePe,"Bengaluru, Karnataka, India",Talent
TAL0050,Technical Account Manager,Trigent Software Private Limited,"KA, India",Talent
TAL0051,Technical Program Manager,Ajmera Infotech Inc.,"Bangalore, GJ, in",Talent
TAL0052,Technical Account Manager,Karix,"Bengaluru, Karnataka, India",Talent
TAL0053,Technical Project Manager,Deluxe,"Bengaluru, Karnataka, India",Talent
TAL0054,Technical Project Manager,Pyxidia Techlab LLP,"Bangalore, Karnataka, India",Talent
TAL0055,Generative AI Engineer,The Syntra,"New Delhi, Delhi, India",Talent
TAL0056,AI Solution Architect,Heyu / Talent Corner HR Services Pvt Ltd,"Delhi, IN",Talent
TAL0057,AI Trainer,SSTech LLC,"Delhi, IN",Talent
TAL0058,Voiceplug - AI Chatbot Developer - Conversational AI,Voiceplug Inc,"Delhi, IN",Talent
TAL0059,Generative AI Engineer,StartUs Insights,"Delhi, IN",Talent
TAL0060,AI Agent Engineer,GROW10X,"Delhi, IN",Talent
TAL0061,AI Engineer,Astra Security,"Delhi, IN",Talent
TAL0062,Generative AI Engineer,Xebia,"Delhi, IN",Talent
TAL0063,AI Automation Specialist,Particle Execution,"Delhi, IN",Talent
TAL0064,AI Trainers required,EducoHire,"Delhi, DL, in",Talent
TAL0065,AI Engineer - Remote,Aplus Careers,"New Delhi, Delhi, India",Talent
TAL0066,AI Developer,r3 Consultant,"Delhi, IN",Talent
TAL0067,Generative AI LLM Engineer (AI / ML),Qubrid AI,"Delhi, IN",Talent
TAL0068,AI / ML Engineer( Gen AI Developer),Daixta,"Delhi, IN",Talent
TAL0069,Project Manager – AI,Wadhwani Foundation,"Delhi, DL, in",Talent
TAL0070,AI / ML Developer,Tata Consultancy Services,"New Delhi, Delhi, India",Talent
TAL0071,AI Developers,GovConPros Inc,"Delhi, IN",Talent
TAL0072,AI Engineer,Zone IT Solutions,"Delhi, DL, IN",Talent
TAL0073,Generative AI Developer,Premier Consultants,"Delhi, IN",Talent
TAL0074,AI / ML Engineer,Cancard Inc.,"Delhi, IN",Talent
TAL0075,PySpark Developers,LTIMindtree,"Chennai, Tamil Nadu, India",Talent
TAL0076,Pyspark Architect,Saaki Argus & Averil Consulting,"Bangalore Rural, Karnataka, India",Talent
TAL0077,Pyspark Architect,Talent Worx,"Bengaluru, KA, IN",Talent
TAL0078,Pyspark developer,Randstad India,"Hyderabad, Telangana, India",Talent
TAL0079,PySpark Technical Lead,Sopra Steria,"Chennai, Tamil Nadu, India",Talent
TAL0080,PySpark Developer,Corporate Resources,Bengaluru,Talent
TAL0081,Senior PySpark Developer,Victrix Systems & Labs,"Delhi, IN",Talent
TAL0082,Python Developer - PySpark,Evoke HR Solutions,Mumbai,Talent
TAL0083,"Hadoop , Pyspark Developer",Allime Tech Solutions Private Limited,"Bangalore, KA, India",Talent
TAL0084,PySpark Developer,Risk Resources LLP,Kolkata,Talent
TAL0085,Senior - PySpark,KPMG India,"Gurgaon, Haryana, India",Talent
TAL0086,Pyspark Developer,Tata Consultancy Services,India,Talent
TAL0087,Pyspark Developer,DATAECONOMY,"Pune, Maharashtra, India",Talent
TAL0088,Data Engineer - PySpark,NexionPro,"Delhi, IN",Talent
TAL0089,Pyspark Developer,Wipro,"Chennai, India",Talent
TAL0090,Java Backend Engineer,Tranzeal Incorporated,"Bengaluru, Karnataka, India",Talent
TAL0091,Backend Engineer - Java,Live Connections placements Pvt Ltd,India,Talent
TAL0092,Java backend Developer,Zone IT Solutions,"Gurugram, HR, IN",Talent
TAL0093,Java Backend Developer,N Consulting Ltd,"Pimpri-Chinchwad, Pune Division, India",Talent
TAL0094,Java Backend Developer,Worldline,"Pune, Maharashtra, India",Talent
TAL0095,Java Backend Lead,Coforge,"Bengaluru, Karnataka, India",Talent
